Min,Activity time,Total period,% Period,Period rank
20,73:32:21,832:2:45,8.838355258874962,1
25,73:30:55,823:23:10,8.928408772716999,1
40,72:33:11,844:9:16,8.594760832338475,1
15,71:59:17,827:20:2,8.701209574798835,1
50,71:45:21,826:4:23,8.686378626049686,1
30,71:36:15,831:31:0,8.611272574211782,1
00,71:20:25,817:13:50,8.729516694255327,1
45,71:15:56,831:45:26,8.568071746362955,1
35,70:47:22,837:40:41,8.450674334246019,1
10,70:26:45,824:4:52,8.548410148407722,1
55,70:23:40,821:6:25,8.573115222167907,1
05,69:8:19,815:57:22,8.473324749901446,1
